Top-level,Aggregate,Mid-level,Low-level,Disaggregate,Attribute,Unit,Value
All food,,,,,Relative importance,Percent,100
All food,,,,,Month-to-month July 2026 to August 2026,Percent change,0.1
All food,,,,,Year-over-year August 2025 to August 2026,Percent change,2.7
All food,,,,,Year-to-date avg. 2026 to avg. 2025,Percent change,2.5
All food,,,,,Annual 2024,Percent change,2.3
All food,,,,,Annual 2025,Percent change,2.9
All food,,,,,20-year historical average,Percent change,3
All food,,,,,Lower bound of forecast interval 2026,Percent change,2.5
All food,,,,,Midpoint of forecast interval 2026,Percent change,2.9
All food,,,,,Upper bound of forecast interval 2026,Percent change,3.2
All food,,,,,Lower bound of forecast interval 2027,Percent change,-2.7
All food,,,,,Midpoint of forecast interval 2027,Percent change,2
All food,,,,,Upper bound of forecast interval 2027,Percent change,7
All food,Food away from home,,,,Relative importance,Percent,39.2
All food,Food away from home,,,,Month-to-month July 2026 to August 2026,Percent change,0.3
All food,Food away from home,,,,Year-over-year August 2025 to August 2026,Percent change,3.4
All food,Food away from home,,,,Year-to-date avg. 2026 to avg. 2025,Percent change,3
All food,Food away from home,,,,Annual 2024,Percent change,4.1
All food,Food away from home,,,,Annual 2025,Percent change,3.8
All food,Food away from home,,,,20-year historical average,Percent change,3.5
All food,Food away from home,,,,Lower bound of forecast interval 2026,Percent change,3.3
All food,Food away from home,,,,Midpoint of forecast interval 2026,Percent change,3.5
All food,Food away from home,,,,Upper bound of forecast interval 2026,Percent change,3.8
All food,Food away from home,,,,Lower bound of forecast interval 2027,Percent change,0.2
All food,Food away from home,,,,Midpoint of forecast interval 2027,Percent change,2.6
All food,Food away from home,,,,Upper bound of forecast interval 2027,Percent change,5.1
All food,Food at home,,,,Relative importance,Percent,60.8
All food,Food at home,,,,Month-to-month July 2026 to August 2026,Percent change,0
All food,Food at home,,,,Year-over-year August 2025 to August 2026,Percent change,2.2
All food,Food at home,,,,Year-to-date avg. 2026 to avg. 2025,Percent change,2.1
All food,Food at home,,,,Annual 2024,Percent change,1.2
All food,Food at home,,,,Annual 2025,Percent change,2.3
All food,Food at home,,,,20-year historical average,Percent change,2.6
All food,Food at home,,,,Lower bound of forecast interval 2026,Percent change,1.8
